,MAPK_P,MAPK_P_P,pERK,t_pERK
383,0.03371216461167473,0.017155593302830285,0.05086775791450501,1915.0
384,0.03351011361814803,0.016941917225611166,0.050452030843759196,1920.0
385,0.03330827007091314,0.016730110212470003,0.050038380283383144,1925.0
386,0.03310663910772728,0.016520163940027706,0.049626803047754985,1930.0
387,0.03290522618939585,0.016312070335069064,0.04921729652446491,1935.0
388,0.032704037098945545,0.016105821564164204,0.048809858663109745,1940.0
389,0.03250307794066711,0.015901410023370706,0.04840448796403782,1945.0
390,0.03230235513903435,0.01569882832802283,0.04800118346705718,1950.0
391,0.032101875437478944,0.015498069302597263,0.04759994474007621,1955.0
392,0.03190164589702234,0.015299125970660982,0.04720077186768332,1960.0
393,0.0317016738947574,0.015101991544896784,0.04680366543965418,1965.0
394,0.031501967122165686,0.014906659417209743,0.04640862653937543,1970.0
395,0.0313025335832696,0.014713123148910245,0.04601565673217985,1975.0
396,0.031103381592601034,0.014521376460979257,0.045624758053580294,1980.0
397,0.030904519773011698,0.014331413224412564,0.04523593299742426,1985.0
398,0.030705957053268843,0.014143227450647406,0.04484918450391625,1990.0
399,0.03050770266546911,0.013956813282071531,0.04446451594754064,1995.0
400,0.030309766142249495,0.013772164982615482,0.04408193112486498,2000.0
401,0.030112157313789602,0.013589276928434492,0.04370143424222409,2005.0
402,0.029914886304602015,0.0134081435986755,0.043323029903277514,2010.0
403,0.02971796353009636,0.013228759566338734,0.042946723096435095,2015.0
404,0.029521399692930415,0.013051119489229879,0.04257251918216029,2020.0
405,0.029325205779120272,0.012875218101012723,0.042200423880132995,2025.0
406,0.02912939305392004,0.012701050202357922,0.04183044325627796,2030.0
407,0.028933973057460413,0.012528610652201367,0.04146258370966178,2035.0
408,0.028738957600143895,0.01235789435910508,0.041096851959248976,2040.0
409,0.028544358757795152,0.012188896272731082,0.04073325503052623,2045.0
410,0.028350188866550705,0.012021611375432681,0.040371800241983384,2050.0
411,0.028156460517504492,0.011856034673962701,0.04001249519146719,2055.0
